{,,,,
SNShot number,SLShot length in deciseconds,TCTimecode of the shot's end in deciseconds,TypeShot type,yaxis
2180,48,74591,Other,0
2181,26,74617,Other,0
2182,25,74642,Other,0
2183,27,74669,Other,0
2184,34,74703,Other,0
2185,22,74725,Other,0
2186,28,74753,Other,0
2187,24,74777,Other,0
2188,10,74787,Other,0
2189,20,74807,Other,0
2190,34,74841,Other,0
2191,11,74852,Other,0
2192,37,74889,Other,0
2193,49,74938,Other,0
2194,26,74964,Other,0
2195,43,75007,Other,0
2196,10,75017,Other,0
2197,31,75048,Other,0
2198,21,75069,Other,0
2199,23,75092,Other,0
2200,48,75140,Other,0
2201,14,75154,Other,0
2202,17,75171,Other,0
2203,10,75181,Other,0
2204,12,75193,Other,0
2205,23,75216,Other,0
2206,14,75230,Other,0
2207,48,75278,Other,0
2208,20,75298,Other,0
2209,6,75304,Other,0
2210,8,75312,Other,0
2211,76,75388,Other,0
2212,14,75402,Other,0
2213,15,75417,Other,0
2214,19,75436,Other,0
2215,39,75475,Other,0
2216,13,75488,Other,0
2217,18,75506,Other,0
2218,38,75544,Other,0
2219,28,75572,Other,0
2220,21,75593,Other,0
2221,23,75616,Other,0
2222,75,75691,Other,0
2223,49,75740,Other,0
2224,12,75752,E.P,0
2225,13,75765,Other,0
2226,19,75784,E.P,0
2227,21,75805,Other,0
2228,16,75821,Other,0
2229,28,75849,Other,0
2230,15,75864,E.P,0
2231,18,75882,Other,0
2232,43,75925,Other,0
2233,22,75947,Other,0
2234,19,75966,E.P,0
2235,26,75992,Other,0
2236,19,76011,Other,0
2237,36,76047,Other,0
2238,25,76072,Other,0
2239,33,76105,Other,0
2240,13,76118,Other,0
2241,29,76147,Other,0
2242,23,76170,Other,0
2243,20,76190,Other,0
2244,23,76213,E.P,0
2245,37,76250,Other,0
2246,13,76263,Other,0
2247,17,76280,Other,0
2248,20,76300,E.P,0
2249,60,76360,Other,0
2250,30,76390,Other,0
2251,99,76489,Other,0
2252,20,76509,Other,0
2253,27,76536,Other,0
2254,21,76557,Other,0
2255,47,76604,Other,0
2256,25,76629,Other,0
2257,9,76638,Other,0
2258,64,76702,Other,0
2259,6,76708,Other,0
2260,16,76724,Other,0
2261,10,76734,Other,0
2262,13,76747,E.P,0
2263,7,76754,Other,0
2264,17,76771,E.P,0
2265,9,76780,E.P,0
2266,25,76805,Other,0
2267,44,76849,Other,0
2268,11,76860,E.P,0
2269,7,76867,Other,0
2270,14,76881,E.P,0
2271,32,76913,Other,0
2272,40,76953,Other,0
2273,19,76972,Other,0
2274,21,76993,Other,0
2275,4,76997,Other,0
2276,20,77017,Other,0
2277,10,77027,Other,0
2278,10,77037,Other,0
2279,31,77068,Other,0
2280,41,77109,Other,0
2281,32,77141,Other,0
2282,29,77170,Other,0
2283,15,77185,Other,0
2284,100,77285,Other,0
2285,34,77319,Other,0
2286,23,77342,Other,0
2287,30,77372,Other,0
2288,49,77421,Other,0
2289,130,77551,Other,0
2290,104,77655,Other,0
2291,32,77687,Other,0
2292,52,77739,Other,0
2293,44,77783,E.P,0
2294,13,77796,Other,0
2295,17,77813,Other,0
2296,10,77823,Other,0
2297,23,77846,Other,0
2298,21,77867,Other,0
2299,24,77891,Other,0
2300,35,77926,Other,0
2301,49,77975,Other,0
2302,21,77996,Other,0
2303,13,78009,Other,0
2304,19,78028,Other,0
2305,18,78046,Other,0
2306,13,78059,Other,0
2307,57,78116,Other,0
2308,78,78194,Other,0
2309,36,78230,Other,0
2310,49,78279,Other,0
2311,59,78338,Other,0
2312,16,78354,Other,0
2313,34,78388,Other,0
2314,17,78405,Other,0
2315,20,78425,Other,0
2316,13,78438,Other,0
2317,24,78462,Other,0
2318,45,78507,Other,0
2319,25,78532,E.P,0
2320,27,78559,Other,0
2321,13,78572,Other,0
2322,21,78593,Other,0
2323,13,78606,Other,0
2324,13,78619,Other,0
2325,17,78636,Other,0
2326,18,78654,Other,0
2327,32,78686,Other,0
2328,8,78694,Other,0
2329,13,78707,Other,0
2330,20,78727,Other,0
2331,14,78741,E.P,0
2332,12,78753,Other,0
2333,11,78764,E.P,0
2334,9,78773,Other,0
2335,7,78780,Other,0
2336,11,78791,Other,0
2337,12,78803,Other,0
2338,8,78811,Other,0
2339,10,78821,Other,0
2340,11,78832,Other,0
2341,22,78854,E.P,0
2342,15,78869,Other,0
2343,38,78907,E.P,0
2344,12,78919,Other,0
2345,16,78935,E.P,0
2346,6,78941,E.P,0
2347,19,78960,E.P,0
2348,12,78972,E.P,0
2349,17,78989,Other,0
2350,24,79013,Other,0
2351,35,79048,E.P,0
2352,14,79062,E.P,0
2353,26,79088,Other,0
2354,16,79104,Other,0
2355,16,79120,Other,0
2356,13,79133,Other,0
2357,38,79171,E.P,0
2358,48,79219,Other,0
2359,47,79266,Other,0
2360,15,79281,Other,0
2361,33,79314,Other,0
2362,38,79352,Other,0
2363,27,79379,Other,0
2364,17,79396,Other,0
2365,57,79453,Other,0
2366,14,79467,Other,0
2367,25,79492,Other,0
2368,26,79518,Other,0
2369,51,79569,Other,0
2370,35,79604,Other,0
2371,36,79640,Other,0
2372,65,79705,Other,0
2373,109,79814,Other,0
2374,51,79865,Other,0
2375,21,79886,Other,0
2376,48,79934,Other,0
2377,52,79986,Other,0
2378,99,80085,Other,0
2379,32,80117,Other,0
2380,46,80163,Other,0
2381,36,80199,Other,0
2382,37,80236,Other,0
2383,153,80389,Other,0
2384,27,80416,Other,0
2385,32,80448,Other,0
2386,19,80467,Other,0
2387,193,80660,Other,0
2388,59,80719,E.P,0
2389,11,80730,E.P,0
2390,32,80762,E.P,0
2391,26,80788,Other,0
2392,23,80811,E.P,0
2393,24,80835,E.P,0
2394,38,80873,Other,0
2395,5,80878,Other,0
2396,50,80928,Other,0
2397,23,80951,Other,0
2398,42,80993,Other,0
2399,85,81078,Other,0
2400,28,81106,Other,0
2401,173,81279,Other,0
2402,54,81333,Other,0
2403,59,81392,Other,0
2404,177,81569,Other,0
2405,38,81607,Other,0
2406,34,81641,Other,0
2407,29,81670,Other,0
2408,32,81702,Other,0
2409,37,81739,Other,0
2410,30,81769,Other,0
2411,91,81860,Other,0
2412,42,81902,Other,0
2413,21,81923,Other,0
2414,50,81973,Other,0
2415,52,82025,Other,0
2416,160,82185,Other,0
2417,171,82356,Other,0
2418,6,82362,Other,0
2419,99,82461,E.P,0
2420,42,82503,Other,0
2421,25,82528,Other,0
2422,33,82561,Other,0
2423,78,82639,Other,0
2424,54,82693,Other,0
2425,76,82769,Other,0
2426,52,82821,Other,0
2427,17,82838,Other,0
2428,46,82884,Other,0
2429,18,82902,Other,0
2430,33,82935,Other,0
2431,16,82951,Other,0
2432,16,82967,Other,0
2433,21,82988,Other,0
2434,38,83026,E.P,0
2435,112,83138,Other,0
2436,64,83202,Other,0
2437,13,83215,Other,0
2438,86,83301,Other,0
2439,14,83315,Other,0
2440,42,83357,Other,0
2441,94,83451,Other,0
2442,61,83512,Other,0
2443,56,83568,Other,0
2444,111,83679,Other,0
2445,38,83717,Other,0
2446,20,83737,Other,0
2447,28,83765,Other,0
2448,44,83809,Other,0
2449,21,83830,Other,0
2450,45,83875,Other,0
2451,18,83893,Other,0
2452,277,84170,Other,0
