{,,,,
SNShot number,SLShot length in deciseconds,TCTimecode of the shot's end in deciseconds,TypeShot type,yaxis
390,29,14625,E.P,0
391,20,14645,E.P,0
392,15,14660,E.P,0
393,29,14689,E.P,0
394,12,14701,E.P,0
395,12,14713,E.P,0
396,48,14761,E.P,0
397,26,14787,E.P,0
398,27,14814,E.P,0
399,27,14841,E.P,0
400,15,14856,E.P,0
401,20,14876,E.P,0
402,25,14901,E.P,0
403,9,14910,E.P,0
404,7,14917,E.P,0
405,23,14940,E.P,0
406,11,14951,E.P,0
407,11,14962,E.P,0
408,13,14975,E.P,0
409,16,14991,E.P,0
410,13,15004,E.P,0
411,17,15021,E.P,0
412,15,15036,E.P,0
413,22,15058,E.P,0
414,86,15144,Other,0
415,83,15227,Other,0
416,23,15250,Other,0
417,16,15266,Other,0
418,15,15281,Other,0
419,27,15308,Other,0
420,19,15327,E.P,0
421,8,15335,E.P,0
422,23,15358,E.P,0
423,37,15395,E.P,0
424,59,15454,E.P,0
425,92,15546,E.P,0
426,24,15570,Other,0
427,40,15610,E.P,0
428,24,15634,Other,0
429,13,15647,E.P,0
430,22,15669,E.P,0
431,50,15719,E.P,0
432,32,15751,E.P,0
433,54,15805,E.P,0
434,72,15877,E.P,0
435,43,15920,E.P,0
436,19,15939,E.P,0
437,43,15982,E.P,0
438,18,16000,E.P,0
439,32,16032,E.P,0
440,30,16062,E.P,0
441,18,16080,E.P,0
442,20,16100,E.P,0
443,31,16131,E.P,0
444,27,16158,E.P,0
445,44,16202,E.P,0
446,22,16224,Other,0
447,15,16239,E.P,0
448,11,16250,Other,0
449,15,16265,E.P,0
450,10,16275,Other,0
451,37,16312,Other,0
452,28,16340,Other,0
453,12,16352,E.P,0
454,67,16419,E.P,0
455,20,16439,Other,0
456,11,16450,E.P,0
457,11,16461,Other,0
458,31,16492,E.P,0
459,25,16517,E.P,0
460,19,16536,E.P,0
461,23,16559,E.P,0
462,25,16584,E.P,0
463,33,16617,E.P,0
464,23,16640,Other,0
465,26,16666,E.P,0
466,148,16814,E.P,0
467,49,16863,E.P,0
468,62,16925,Other,0
469,16,16941,Other,0
470,24,16965,E.P,0
471,26,16991,Other,0
472,19,17010,E.P,0
473,34,17044,E.P,0
474,79,17123,Other,0
475,24,17147,E.P,0
476,20,17167,Other,0
477,219,17386,E.P,0
478,44,17430,E.P,0
479,22,17452,E.P,0
480,57,17509,E.P,0
481,53,17562,E.P,0
482,39,17601,E.P,0
483,39,17640,E.P,0
484,34,17674,E.P,0
485,118,17792,Other,0
486,32,17824,E.P,0
487,75,17899,Other,0
488,22,17921,E.P,0
489,31,17952,E.P,0
490,22,17974,Other,0
491,25,17999,E.P,0
492,35,18034,Other,0
493,16,18050,E.P,0
494,41,18091,E.P,0
495,78,18169,E.P,0
496,38,18207,Other,0
497,36,18243,E.P,0
498,39,18282,Other,0
499,126,18408,E.P,0
500,51,18459,E.P,0
501,18,18477,Other,0
502,35,18512,E.P,0
503,65,18577,E.P,0
504,22,18599,E.P,0
505,89,18688,E.P,0
506,69,18757,E.P,0
507,181,18938,E.P,0
508,41,18979,E.P,0
509,40,19019,E.P,0
510,37,19056,E.P,0
511,17,19073,E.P,0
512,32,19105,E.P,0
513,20,19125,E.P,0
514,36,19161,Other,0
515,18,19179,Other,0
516,21,19200,Other,0
517,14,19214,Other,0
518,69,19283,Other,0
519,19,19302,E.P,0
520,36,19338,Other,0
521,22,19360,E.P,0
522,44,19404,Other,0
523,91,19495,E.P,0
524,16,19511,Other,0
525,20,19531,E.P,0
526,36,19567,E.P,0
527,23,19590,Other,0
528,17,19607,E.P,0
529,14,19621,E.P,0
530,20,19641,Other,0
531,3,19644,Other,0
532,9,19653,E.P,0
533,7,19660,Other,0
534,148,19808,E.P,0
535,30,19838,E.P,0
536,24,19862,Other,0
537,92,19954,E.P,0
538,21,19975,Other,0
539,20,19995,Other,0
540,19,20014,Other,0
541,15,20029,Other,0
542,17,20046,E.P,0
543,34,20080,E.P,0
544,12,20092,E.P,0
545,20,20112,Other,0
546,7,20119,E.P,0
547,13,20132,E.P,0
548,68,20200,Other,0
549,43,20243,E.P,0
550,15,20258,E.P,0
551,67,20325,E.P,0
552,42,20367,E.P,0
553,27,20394,Other,0
554,21,20415,Other,0
555,17,20432,Other,0
556,67,20499,Other,0
557,15,20514,Other,0
558,41,20555,Other,0
559,18,20573,Other,0
560,56,20629,Other,0
561,38,20667,Other,0
562,67,20734,Other,0
563,8,20742,Other,0
564,16,20758,Other,0
565,15,20773,Other,0
566,53,20826,Other,0
567,144,20970,Other,0
568,117,21087,Other,0
569,18,21105,Other,0
570,29,21134,Other,0
571,16,21150,Other,0
572,29,21179,Other,0
573,30,21209,Other,0
574,38,21247,Other,0
575,33,21280,Other,0
576,16,21296,Other,0
577,63,21359,Other,0
578,17,21376,Other,0
579,42,21418,Other,0
580,28,21446,Other,0
581,125,21571,Other,0
582,9,21580,Other,0
583,32,21612,Other,0
584,16,21628,Other,0
585,91,21719,Other,0
586,40,21759,Other,0
587,8,21767,Other,0
588,17,21784,Other,0
589,25,21809,Other,0
590,24,21833,Other,0
591,21,21854,Other,0
592,30,21884,Other,0
593,12,21896,Other,0
594,44,21940,Other,0
595,13,21953,Other,0
596,10,21963,Other,0
597,9,21972,Other,0
598,7,21979,Other,0
599,19,21998,Other,0
600,11,22009,Other,0
601,16,22025,Other,0
602,8,22033,Other,0
603,62,22095,Other,0
604,18,22113,Other,0
605,16,22129,Other,0
606,13,22142,Other,0
607,34,22176,Other,0
608,26,22202,Other,0
609,11,22213,Other,0
610,20,22233,Other,0
611,13,22246,Other,0
612,59,22305,Other,0
613,35,22340,Other,0
614,36,22376,Other,0
615,99,22475,Other,0
616,29,22504,Other,0
617,34,22538,Other,0
618,38,22576,Other,0
619,10,22586,Other,0
620,18,22604,Other,0
621,19,22623,Other,0
622,22,22645,Other,0
623,22,22667,Other,0
624,6,22673,Other,0
625,10,22683,Other,0
626,15,22698,Other,0
627,16,22714,Other,0
628,7,22721,Other,0
629,12,22733,Other,0
630,9,22742,Other,0
631,11,22753,Other,0
632,16,22769,Other,0
633,18,22787,Other,0
634,9,22796,Other,0
635,16,22812,Other,0
636,15,22827,Other,0
637,7,22834,Other,0
638,9,22843,Other,0
639,13,22856,Other,0
640,13,22869,Other,0
641,29,22898,Other,0
642,11,22909,Other,0
643,11,22920,Other,0
644,13,22933,Other,0
645,17,22950,Other,0
646,27,22977,Other,0
647,21,22998,Other,0
648,11,23009,Other,0
649,41,23050,Other,0
650,62,23112,Other,0
651,39,23151,Other,0
652,33,23184,Other,0
653,32,23216,Other,0
654,22,23238,Other,0
655,12,23250,Other,0
656,11,23261,Other,0
657,36,23297,Other,0
658,10,23307,Other,0
659,23,23330,Other,0
660,73,23403,Other,0
661,34,23437,E.P,0
662,26,23463,E.P,0
663,53,23516,E.P,0
664,21,23537,E.P,0
665,49,23586,E.P,0
666,25,23611,E.P,0
667,29,23640,E.P,0
668,25,23665,E.P,0
669,24,23689,E.P,0
670,16,23705,E.P,0
671,14,23719,E.P,0
672,131,23850,E.P,0
673,214,24064,E.P,0
674,29,24093,Other,0
675,83,24176,E.P,0
676,72,24248,E.P,0
677,8,24256,E.P,0
678,40,24296,E.P,0
679,23,24319,E.P,0
680,26,24345,Other,0
681,55,24400,E.P,0
682,25,24425,E.P,0
683,56,24481,Other,0
684,24,24505,Other,0
685,23,24528,Other,0
686,31,24559,Other,0
687,34,24593,Other,0
688,10,24603,Other,0
689,10,24613,Other,0
690,34,24647,Other,0
691,36,24683,Other,0
692,6,24689,Other,0
693,31,24720,Other,0
694,47,24767,Other,0
695,29,24796,Other,0
696,30,24826,Other,0
697,16,24842,Other,0
698,69,24911,Other,0
699,24,24935,Other,0
700,26,24961,Other,0
701,70,25031,Other,0
702,100,25131,Other,0
703,38,25169,Other,0
704,27,25196,Other,0
705,75,25271,Other,0
706,35,25306,Other,0
707,29,25335,Other,0
708,112,25447,Other,0
709,59,25506,Other,0
710,71,25577,Other,0
711,51,25628,Other,0
712,117,25745,Other,0
713,37,25782,Other,0
714,54,25836,Other,0
715,24,25860,E.P,0
716,13,25873,Other,0
717,18,25891,E.P,0
718,12,25903,Other,0
719,17,25920,E.P,0
720,12,25932,Other,0
721,18,25950,Other,0
722,43,25993,Other,0
723,57,26050,Other,0
724,37,26087,Other,0
725,12,26099,Other,0
726,15,26114,Other,0
727,107,26221,Other,0
728,26,26247,Other,0
729,6,26253,Other,0
730,48,26301,Other,0
731,38,26339,Other,0
732,26,26365,Other,0
733,245,26610,Other,0
734,76,26686,Other,0
735,26,26712,Other,0
736,26,26738,Other,0
737,13,26751,Other,0
738,53,26804,Other,0
739,33,26837,Other,0
740,31,26868,Other,0
741,23,26891,Other,0
742,49,26940,Other,0
743,10,26950,Other,0
744,17,26967,Other,0
745,38,27005,Other,0
746,48,27053,Other,0
747,19,27072,Other,0
748,120,27192,Other,0
749,33,27225,Other,0
750,202,27427,Other,0
751,93,27520,Other,0
752,32,27552,Other,0
753,10,27562,Other,0
754,65,27627,Other,0
755,23,27650,Other,0
756,14,27664,Other,0
757,27,27691,Other,0
758,39,27730,Other,0
759,44,27774,Other,0
760,57,27831,Other,0
761,66,27897,Other,0
762,45,27942,Other,0
763,95,28037,Other,0
764,23,28060,Other,0
765,52,28112,Other,0
766,76,28188,Other,0
767,54,28242,Other,0
768,22,28264,Other,0
769,81,28345,Other,0
770,38,28383,Other,0
771,26,28409,Other,0
772,52,28461,E.P,0
773,40,28501,E.P,0
774,40,28541,E.P,0
775,22,28563,E.P,0
776,21,28584,E.P,0
777,31,28615,E.P,0
778,56,28671,E.P,0
779,30,28701,E.P,0
780,12,28713,E.P,0
781,15,28728,E.P,0
782,21,28749,E.P,0
783,56,28805,E.P,0
784,68,28873,E.P,0
785,26,28899,E.P,0
786,25,28924,Other,0
787,8,28932,Other,0
788,17,28949,E.P,0
789,43,28992,E.P,0
790,124,29116,E.P,0
791,10,29126,E.P,0
792,22,29148,Other,0
793,45,29193,E.P,0
794,40,29233,Other,0
795,42,29275,E.P,0
796,53,29328,Other,0
797,29,29357,E.P,0
798,24,29381,Other,0
799,13,29394,E.P,0
800,15,29409,Other,0
