SNShot number,SLShot length in deciseconds,TCTimecode of the shot's end in deciseconds,Yaxis
2879,16,45381,0
2880,14,45395,0
2881,18,45413,0
2882,45,45458,0
2883,25,45483,0
2884,29,45512,0
2885,42,45554,0
2886,11,45565,0
2887,37,45602,0
2888,20,45622,0
2889,41,45663,0
2890,11,45674,0
2891,14,45688,0
2892,20,45708,0
2893,13,45721,0
2894,8,45729,0
2895,18,45747,0
2896,8,45755,0
2897,5,45760,0
2898,5,45765,0
2899,5,45770,0
2900,4,45774,0
2901,7,45781,0
2902,5,45786,0
2903,6,45792,0
2904,7,45799,0
2905,5,45804,0
2906,3,45807,0
2907,7,45814,0
2908,3,45817,0
2909,6,45823,0
2910,7,45830,0
2911,5,45835,0
2912,3,45838,0
2913,4,45842,0
2914,4,45846,0
2915,5,45851,0
2916,11,45862,0
2917,16,45878,0
2918,8,45886,0
2919,40,45926,0
2920,57,45983,0
2921,40,46023,0
2922,41,46064,0
2923,60,46124,0
2924,11,46135,0
2925,16,46151,0
2926,10,46161,0
2927,7,46168,0
2928,5,46173,0
2929,4,46177,0
2930,8,46185,0
2931,10,46195,0
2932,80,46275,0
2933,21,46296,0
2934,22,46318,0
2935,50,46368,0
2936,73,46441,0
2937,21,46462,0
2938,10,46472,0
2939,11,46483,0
2940,55,46538,0
2941,17,46555,0
2942,44,46599,0
2943,21,46620,0
2944,11,46631,0
2945,17,46648,0
2946,10,46658,0
2947,11,46669,0
2948,11,46680,0
2949,11,46691,0
2950,19,46710,0
2951,12,46722,0
2952,12,46734,0
2953,7,46741,0
2954,14,46755,0
2955,35,46790,0
2956,13,46803,0
2957,50,46853,0
2958,17,46870,0
2959,11,46881,0
2960,9,46890,0
2961,8,46898,0
2962,13,46911,0
2963,27,46938,0
2964,11,46949,0
2965,15,46964,0
2966,13,46977,0
2967,6,46983,0
2968,10,46993,0
2969,25,47018,0
2970,31,47049,0
2971,28,47077,0
2972,18,47095,0
2973,43,47138,0
2974,23,47161,0
2975,19,47180,0
2976,16,47196,0
2977,15,47211,0
2978,63,47274,0
2979,17,47291,0
2980,10,47301,0
2981,32,47333,0
2982,14,47347,0
2983,21,47368,0
2984,31,47399,0
2985,14,47413,0
2986,11,47424,0
2987,27,47451,0
2988,20,47471,0
2989,57,47528,0
2990,30,47558,0
2991,11,47569,0
2992,21,47590,0
2993,35,47625,0
2994,66,47691,0
2995,19,47710,0
2996,8,47718,0
2997,9,47727,0
2998,30,47757,0
2999,7,47764,0
3000,19,47783,0
3001,98,47881,0
3002,10,47891,0
3003,8,47899,0
3004,5,47904,0
3005,4,47908,0
3006,5,47913,0
3007,3,47916,0
3008,5,47921,0
3009,4,47925,0
3010,5,47930,0
3011,5,47935,0
3012,5,47940,0
3013,7,47947,0
3014,7,47954,0
3015,3,47957,0
3016,4,47961,0
3017,4,47965,0
3018,4,47969,0
3019,3,47972,0
3020,4,47976,0
3021,5,47981,0
3022,4,47985,0
3023,5,47990,0
3024,3,47993,0
3025,9,48002,0
3026,5,48007,0
3027,9,48016,0
3028,5,48021,0
3029,6,48027,0
3030,5,48032,0
3031,4,48036,0
3032,6,48042,0
3033,6,48048,0
3034,6,48054,0
3035,7,48061,0
3036,5,48066,0
3037,5,48071,0
3038,8,48079,0
3039,5,48084,0
3040,6,48090,0
3041,4,48094,0
3042,8,48102,0
3043,5,48107,0
3044,7,48114,0
3045,8,48122,0
3046,6,48128,0
3047,10,48138,0
3048,5,48143,0
3049,7,48150,0
3050,11,48161,0
3051,8,48169,0
3052,5,48174,0
3053,6,48180,0
3054,8,48188,0
3055,16,48204,0
3056,13,48217,0
3057,18,48235,0
3058,6,48241,0
3059,7,48248,0
3060,24,48272,0
3061,6,48278,0
3062,5,48283,0
3063,5,48288,0
3064,7,48295,0
3065,7,48302,0
3066,5,48307,0
3067,4,48311,0
3068,7,48318,0
3069,12,48330,0
3070,6,48336,0
3071,6,48342,0
3072,5,48347,0
3073,24,48371,0
3074,2,48373,0
3075,8,48381,0
3076,3,48384,0
3077,4,48388,0
3078,4,48392,0
3079,5,48397,0
3080,4,48401,0
3081,7,48408,0
3082,17,48425,0
3083,10,48435,0
3084,8,48443,0
3085,20,48463,0
3086,7,48470,0
3087,5,48475,0
3088,10,48485,0
3089,9,48494,0
3090,17,48511,0
3091,8,48519,0
3092,5,48524,0
3093,3,48527,0
3094,7,48534,0
3095,5,48539,0
3096,71,48610,0
3097,3,48613,0
3098,5,48618,0
3099,8,48626,0
3100,31,48657,0
3101,40,48697,0
3102,72,48769,0
3103,5,48774,0
3104,5,48779,0
3105,5,48784,0
3106,6,48790,0
3107,20,48810,0
3108,9,48819,0
3109,5,48824,0
3110,10,48834,0
3111,6,48840,0
3112,5,48845,0
3113,5,48850,0
3114,6,48856,0
3115,4,48860,0
3116,4,48864,0
3117,4,48868,0
3118,5,48873,0
3119,4,48877,0
3120,5,48882,0
3121,4,48886,0
3122,5,48891,0
3123,5,48896,0
3124,6,48902,0
3125,7,48909,0
3126,7,48916,0
3127,5,48921,0
3128,9,48930,0
3129,6,48936,0
3130,4,48940,0
3131,5,48945,0
3132,8,48953,0
3133,8,48961,0
3134,6,48967,0
3135,6,48973,0
3136,5,48978,0
3137,22,49000,0
3138,11,49011,0
3139,15,49026,0
3140,21,49047,0
3141,5,49052,0
3142,6,49058,0
3143,6,49064,0
3144,7,49071,0
3145,5,49076,0
3146,15,49091,0
3147,16,49107,0
3148,16,49123,0
3149,20,49143,0
3150,25,49168,0
3151,6,49174,0
3152,6,49180,0
3153,8,49188,0
3154,5,49193,0
3155,5,49198,0
3156,5,49203,0
3157,5,49208,0
3158,3,49211,0
3159,5,49216,0
3160,4,49220,0
3161,4,49224,0
3162,4,49228,0
3163,8,49236,0
3164,3,49239,0
3165,4,49243,0
3166,3,49246,0
3167,5,49251,0
3168,4,49255,0
3169,5,49260,0
3170,6,49266,0
3171,5,49271,0
3172,6,49277,0
3173,7,49284,0
3174,3,49287,0
3175,5,49292,0
3176,4,49296,0
3177,6,49302,0
3178,8,49310,0
3179,6,49316,0
3180,14,49330,0
3181,5,49335,0
3182,6,49341,0
3183,26,49367,0
3184,13,49380,0
3185,5,49385,0
3186,3,49388,0
3187,7,49395,0
3188,5,49400,0
3189,4,49404,0
3190,7,49411,0
3191,4,49415,0
3192,5,49420,0
3193,7,49427,0
3194,5,49432,0
3195,3,49435,0
3196,5,49440,0
3197,5,49445,0
3198,5,49450,0
3199,9,49459,0
3200,6,49465,0
3201,4,49469,0
3202,6,49475,0
3203,6,49481,0
3204,5,49486,0
3205,8,49494,0
3206,6,49500,0
3207,6,49506,0
3208,18,49524,0
3209,6,49530,0
3210,15,49545,0
3211,6,49551,0
3212,4,49555,0
3213,6,49561,0
3214,5,49566,0
3215,43,49609,0
3216,30,49639,0
3217,31,49670,0
3218,15,49685,0
3219,10,49695,0
3220,13,49708,0
3221,13,49721,0
3222,5,49726,0
3223,2,49728,0
3224,4,49732,0
3225,6,49738,0
3226,7,49745,0
3227,6,49751,0
3228,19,49770,0
3229,9,49779,0
3230,25,49804,0
3231,15,49819,0
3232,7,49826,0
3233,5,49831,0
3234,5,49836,0
3235,25,49861,0
3236,21,49882,0
3237,108,49990,0
3238,34,50024,0
3239,20,50044,0
3240,17,50061,0
3241,45,50106,0
3242,14,50120,0
3243,4,50124,0
3244,5,50129,0
3245,4,50133,0
3246,5,50138,0
3247,5,50143,0
3248,19,50162,0
3249,17,50179,0
3250,6,50185,0
3251,25,50210,0
3252,4,50214,0
3253,6,50220,0
3254,5,50225,0
3255,10,50235,0
3256,5,50240,0
3257,5,50245,0
3258,4,50249,0
3259,4,50253,0
3260,4,50257,0
3261,3,50260,0
3262,4,50264,0
3263,4,50268,0
3264,3,50271,0
3265,4,50275,0
3266,5,50280,0
3267,4,50284,0
3268,4,50288,0
3269,5,50293,0
3270,5,50298,0
3271,6,50304,0
3272,4,50308,0
3273,5,50313,0
3274,5,50318,0
3275,3,50321,0
3276,4,50325,0
3277,9,50334,0
3278,11,50345,0
3279,6,50351,0
3280,16,50367,0
3281,9,50376,0
3282,24,50400,0
3283,10,50410,0
3284,9,50419,0
3285,12,50431,0
3286,7,50438,0
3287,8,50446,0
3288,6,50452,0
3289,8,50460,0
3290,20,50480,0
3291,6,50486,0
3292,6,50492,0
3293,8,50500,0
3294,8,50508,0
3295,5,50513,0
3296,10,50523,0
3297,30,50553,0
3298,53,50606,0
3299,19,50625,0
3300,23,50648,0
3301,62,50710,0
3302,13,50723,0
3303,38,50761,0
3304,15,50776,0
3305,9,50785,0
3306,43,50828,0
3307,14,50842,0
3308,39,50881,0
3309,7,50888,0
3310,5,50893,0
3311,14,50907,0
3312,11,50918,0
3313,11,50929,0
3314,9,50938,0
3315,5,50943,0
3316,13,50956,0
3317,6,50962,0
3318,11,50973,0
3319,19,50992,0
3320,7,50999,0
3321,99,51098,0
3322,27,51125,0
3323,54,51179,0
3324,13,51192,0
3325,20,51212,0
3326,27,51239,0
3327,84,51323,0
3328,25,51348,0
3329,10,51358,0
3330,25,51383,0
3331,11,51394,0
3332,5,51399,0
3333,8,51407,0
3334,7,51414,0
3335,10,51424,0
3336,36,51460,0
3337,45,51505,0
3338,46,51551,0
3339,15,51566,0
3340,20,51586,0
3341,50,51636,0
3342,45,51681,0
3343,25,51706,0
3344,40,51746,0
3345,17,51763,0
3346,44,51807,0
3347,15,51822,0
3348,32,51854,0
3349,16,51870,0
3350,60,51930,0
3351,86,52016,0
3352,14,52030,0
3353,45,52075,0
3354,14,52089,0
3355,20,52109,0
3356,13,52122,0
3357,14,52136,0
3358,10,52146,0
3359,30,52176,0
3360,9,52185,0
3361,10,52195,0
3362,15,52210,0
3363,12,52222,0
3364,54,52276,0
3365,11,52287,0
3366,20,52307,0
3367,12,52319,0
3368,28,52347,0
3369,15,52362,0
3370,33,52395,0
3371,9,52404,0
3372,18,52422,0
3373,15,52437,0
3374,11,52448,0
3375,11,52459,0
3376,6,52465,0
3377,6,52471,0
3378,5,52476,0
3379,5,52481,0
3380,7,52488,0
3381,3,52491,0
3382,7,52498,0
3383,6,52504,0
3384,6,52510,0
3385,8,52518,0
3386,7,52525,0
3387,8,52533,0
3388,17,52550,0
3389,8,52558,0
3390,36,52594,0
3391,7,52601,0
3392,8,52609,0
3393,7,52616,0
3394,6,52622,0
3395,38,52660,0
3396,11,52671,0
3397,10,52681,0
3398,36,52717,0
3399,16,52733,0
3400,9,52742,0
3401,13,52755,0
3402,7,52762,0
3403,9,52771,0
3404,11,52782,0
3405,11,52793,0
3406,6,52799,0
3407,9,52808,0
3408,8,52816,0
3409,7,52823,0
3410,15,52838,0
3411,9,52847,0
3412,9,52856,0
3413,18,52874,0
3414,12,52886,0
3415,26,52912,0
3416,17,52929,0
3417,19,52948,0
3418,10,52958,0
3419,16,52974,0
3420,56,53030,0
3421,51,53081,0
3422,14,53095,0
3423,29,53124,0
3424,111,53235,0
3425,34,53269,0
3426,23,53292,0
3427,36,53328,0
3428,14,53342,0
3429,49,53391,0
3430,254,53645,0
3431,41,53686,0
3432,27,53713,0
3433,21,53734,0
3434,15,53749,0
3435,9,53758,0
3436,9,53767,0
3437,30,53797,0
3438,20,53817,0
3439,17,53834,0
3440,11,53845,0
3441,13,53858,0
3442,11,53869,0
3443,14,53883,0
3444,6,53889,0
3445,19,53908,0
3446,18,53926,0
3447,13,53939,0
3448,30,53969,0
3449,39,54008,0
3450,29,54037,0
3451,19,54056,0
3452,34,54090,0
3453,15,54105,0
3454,23,54128,0
3455,23,54151,0
3456,53,54204,0
3457,32,54236,0
3458,25,54261,0
3459,32,54293,0
3460,34,54327,0
3461,38,54365,0
3462,18,54383,0
3463,35,54418,0
3464,21,54439,0
3465,9,54448,0
3466,10,54458,0
3467,10,54468,0
3468,37,54505,0
3469,19,54524,0
3470,16,54540,0
3471,24,54564,0
3472,19,54583,0
3473,12,54595,0
3474,8,54603,0
3475,12,54615,0
3476,6,54621,0
3477,5,54626,0
3478,10,54636,0
3479,7,54643,0
3480,10,54653,0
3481,18,54671,0
3482,7,54678,0
3483,11,54689,0
3484,20,54709,0
3485,9,54718,0
3486,10,54728,0
3487,26,54754,0
3488,8,54762,0
3489,21,54783,0
3490,10,54793,0
3491,32,54825,0
3492,25,54850,0
3493,24,54874,0
3494,9,54883,0
3495,41,54924,0
3496,137,55061,0
3497,19,55080,0
3498,35,55115,0
3499,34,55149,0
3500,17,55166,0
3501,19,55185,0
3502,46,55231,0
3503,8,55239,0
3504,14,55253,0
3505,34,55287,0
